region,upazila,area_ha,annual_crop_ha,single_cropped_ha,double_cropped_ha,triple_cropped_ha,quadruple_cropped_ha,other_ha,net_cropped_ha,cropping_intensity_pct,source,adm3_name,district,lat,lon
Comilla,Kasba,21000.0,110.0,3500.0,8800.0,2830.0,0.0,120.0,15360.0,195.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Kasba,Brahamanbaria,23.763,91.1303
Comilla,Nabinagar,35750.0,20.0,10900.0,12340.0,3000.0,0.0,160.0,26420.0,170.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Nabinagar,Brahamanbaria,23.8635,90.9804
Comilla,Nasirnagar,30262.0,10.0,12260.0,12820.0,870.0,0.0,100.0,26060.0,156.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Nasirnagar,Brahamanbaria,24.1822,91.1875
Comilla,Sarail,21527.0,10.0,9500.0,6190.0,680.0,0.0,120.0,16500.0,146.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Sarail,Brahamanbaria,24.1032,91.1122
Comilla,Chandpur,30880.0,130.0,4220.0,6900.0,400.0,0.0,80.0,11730.0,166.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Chandpur Sadar,Chandpur,23.227,90.6908
Comilla,Faridganj,23150.0,200.0,2820.0,8070.0,580.0,40.0,190.0,11900.0,180.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Faridganj,Chandpur,23.1462,90.7609
Comilla,Haimchar,17400.0,230.0,1040.0,1930.0,1640.0,0.0,140.0,4980.0,208.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Haim Char,Chandpur,23.0727,90.6618
Comilla,Hajiganj,18991.0,40.0,9000.0,2610.0,250.0,0.0,140.0,12040.0,126.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Hajiganj,Chandpur,23.263,90.8372
Comilla,Kachua,24725.0,10.0,1300.0,10480.0,4760.0,0.0,150.0,16700.0,221.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Kachua,Chandpur,23.3627,90.8817
Comilla,Matlab.N,27760.0,300.0,1120.0,6720.0,6540.0,80.0,120.0,14880.0,236.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Matlab Uttar,Chandpur,23.4145,90.642
Comilla,Matlab.S,13175.0,20.0,2900.0,6060.0,10.0,0.0,110.0,9100.0,168.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Matlab Dakshin,Chandpur,23.3501,90.7475
Comilla,Shaharasti,15400.0,15.0,1700.0,7430.0,1300.0,30.0,175.0,10650.0,197.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Shahrasti,Chandpur,23.2087,90.9569
Comilla,Barura,24165.0,170.0,0.0,1460.0,14290.0,450.0,100.0,16470.0,292.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Barura,Comilla,23.3557,91.0394
Comilla,Brahmanpara,12850.0,10.0,1870.0,3640.0,3870.0,0.0,110.0,9500.0,221.0,"Bangladesh Rice Journal 21(2) 2017, 'Crop Diversity and Cropping Patterns of Comilla Region', doi:10.3329/brj.v21i2.38198",Brahman Para,Comilla,23.6452,91.0966
