crop,group,l_ini,l_dev,l_mid,l_late,total_days,plant_date,region,frac_ini,frac_dev,frac_mid,frac_late,source
Castor beans,Oil Crops,20.0,40.0,50.0,25.0,135.0,Nov.,Indonesia,0.148,0.296,0.37,0.185,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Safflower,Oil Crops,20.0,35.0,45.0,25.0,125.0,April,"California, USA",0.16,0.28,0.36,0.2,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Safflower,Oil Crops,25.0,35.0,55.0,30.0,145.0,Mar,High Latitudes,0.172,0.241,0.379,0.207,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Safflower,Oil Crops,35.0,55.0,60.0,40.0,190.0,Oct/Nov,Arid Region,0.184,0.289,0.316,0.211,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sesame,Oil Crops,20.0,30.0,40.0,20.0,110.0,June,China,0.182,0.273,0.364,0.182,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Sunflower,Oil Crops,25.0,35.0,45.0,25.0,130.0,April/May,Medit.; California,0.192,0.269,0.346,0.192,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Barley/Oats/Wheat,Cereals,15.0,25.0,50.0,30.0,120.0,November,Central India,0.125,0.208,0.417,0.25,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Barley/Oats/Wheat,Cereals,20.0,25.0,60.0,30.0,135.0,March/Apr,35-45 °L,0.148,0.185,0.444,0.222,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Barley/Oats/Wheat,Cereals,15.0,30.0,65.0,40.0,150.0,July,East Africa,0.1,0.2,0.433,0.267,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
Barley/Oats/Wheat,Cereals,40.0,30.0,40.0,20.0,130.0,Apr,,0.308,0.231,0.308,0.154,"FAO-56 (Allen et al. 1998), Chapter 6, Tables 11-12"
