site_id,name,district,lat,lon,shape_id
ADM3_Kawkhali,Kawkhali,,22.6067,90.0585,5055444B7582936934927
ADM3_KawkhaliBetbunia,Kawkhali (Betbunia),,22.6207,92.0095,5055444B19367082920466
ADM3_Kazipur,Kazipur,,24.6702,89.6872,5055444B60898734615082
ADM3_Kendua,Kendua,,24.6773,90.8028,5055444B31571719417761
ADM3_Keraniganj,Keraniganj,,23.6935,90.3443,5055444B13645595955380
ADM3_Keshabpur,Keshabpur,,22.8801,89.2318,5055444B35284050445786
ADM3_KhagrachhariSadar,Khagrachhari Sadar,,23.1286,91.9861,5055444B92688731308594
ADM3_Khaliajuri,Khaliajuri,,24.7023,91.1212,5055444B19619959781410
ADM3_Khalishpur,Khalishpur,,22.8497,89.5363,5055444B34358039659895
ADM3_KhanJahanAli,Khan Jahan Ali,,22.9168,89.4907,5055444B24865476374111
ADM3_Khansama,Khansama,,25.8698,88.7652,5055444B43604682805019
ADM3_Khetlal,Khetlal,,25.0225,89.1181,5055444B82593576675649
ADM3_Khilgaon,Khilgaon,,23.76,90.455,5055444B61701169401467
ADM3_Khilkhet,Khilkhet,,23.8344,90.4474,5055444B65231246155988
ADM3_Khoksa,Khoksa,,23.8089,89.2998,5055444B67450707106328
ADM3_KhulnaSadar,Khulna Sadar,,22.8006,89.5687,5055444B15799752378337
ADM3_Khulshi,Khulshi,,22.3661,91.8002,5055444B97703922589889
ADM3_Kishoreganj,Kishoreganj,,25.8961,89.0328,5055444B13115177631970
ADM3_KishoreganjSadar,Kishoreganj Sadar,,24.4238,90.7833,5055444B23116047472537
ADM3_KotaliPara,Kotali Para,,23.0111,90.0207,5055444B41131729628640
ADM3_Kotchandpur,Kotchandpur,,23.4479,88.9987,5055444B95278477608214
ADM3_Kotwali_226647,Kotwali,,22.3429,91.8325,5055444B43057747226647
ADM3_Kotwali_832933,Kotwali,,23.7099,90.4079,5055444B96747808832933
ADM3_Kotwali_291187,Kotwali,,23.1819,89.2192,5055444B46202498291187
ADM3_Koyra,Koyra,,22.3377,89.3466,5055444B74268178694093
ADM3_Kulaura,Kulaura,,24.4903,92.0123,5055444B34645993170454
ADM3_KuliarChar,Kuliar Char,,24.152,90.8881,5055444B4949777620192
ADM3_Kumarkhali,Kumarkhali,,23.8567,89.2096,5055444B47909201503305
ADM3_KurigramSadar,Kurigram Sadar,,25.826,89.6907,5055444B50958574054556
ADM3_KushtiaSadar,Kushtia Sadar,,23.8223,89.0896,5055444B28612098242790
ADM3_Kutubdia,Kutubdia,,21.8378,91.8625,5055444B6774293613253
ADM3_Lakhai,Lakhai,,24.2981,91.2603,5055444B57247897751497
ADM3_Laksam,Laksam,,23.2388,91.1053,5055444B78219247274360
ADM3_Lakshmichhari,Lakshmichhari,,22.7849,91.929,5055444B76771399523865
ADM3_LakshmipurSadar,Lakshmipur Sadar,,22.9239,90.8684,5055444B13201052505859
ADM3_Lalbagh,Lalbagh,,23.7213,90.3783,5055444B37083431015696
ADM3_Lalmohan,Lalmohan,,22.3148,90.7543,5055444B5187624990089
